x,y,name
20,-1.5,10
30,0,10
40,2,10
50,-4,2
55,-1.5,10
60,-4,2
65,-1.5,10
70,-2.1,10
70,1.9,1
75,-1.5,10
80,-2.1,10
80,1.9,1
90,1,10
90,-4,2
100,1.9,1
107,2,10
114,1.9,1
120,-1.5,10
126,1,10
126,-4,2
131,1,10
131,-4,2
136,1,10
136,-4,2
144,-2.1,10
144,1.9,1
147,-2.1,10
147,1.9,1
150,-2.1,10
150,1.9,1
155,0.8,10
157,2,10
159,0.8,10
165,1.9,1
170,1,10
170,-4,2
175,1,10
175,-4,2
180,1.9,1
185,1.9,1
190,-1.5,10
190,4,1
195,1.9,1
200,-1.5,10
200,4,1
205,1.9,1
213,1,10
213,-4,2
213,6,1
220,1,10
220,-4,2
220,6,1
225,-1.5,10
230,1,10
230,-4,2
235,1,10
235,-4,2
185,-2.1,10
195,-2.1,10
205,-2.1,10
242,0.8,10
244,2,10
246,0.8,10
